"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
-89.8076,-72.6064,,276,,358,-89.8076,,
-89.8076,-73.6382,,277,,359,-89.8076,,
-89.8076,-73.4309,,278,,361,-89.8076,,
-89.8076,-67.2946,,279,,362,-89.8076,,
-89.8076,-67.2946,,280,,363,-89.8076,,
-89.8076,-65.8907,,281,,364,-89.8076,,
-89.8076,-64.595,,282,,366,-89.8076,,
-89.8076,-63.4484,,283,,367,-89.8076,,
-89.8076,-63.4484,,284,,368,-89.8076,,
-89.8076,-62.539,,285,,369,-89.8076,,
-89.8076,-70.3607,,286,,371,-89.8076,,
-89.8076,-71.1316,,287,,372,-89.8076,,
-89.8076,-71.1316,,288,,373,-89.8076,,
-89.8076,-69.9594,,289,,374,-89.8076,,
-89.8076,-69.9594,,290,,376,-89.8076,,
-89.8076,-70.3607,,291,,377,-89.8076,,
-89.8076,-74.4323,,292,,378,-89.8076,,
-89.8076,-74.1026,,293,,379,-89.8076,,
-89.8076,-73.302,,294,,381,-89.8076,,
-89.8076,-73.2548,,295,,382,-89.8076,,
-89.8076,-73.2548,,296,,383,-89.8076,,
-89.8076,-73.2548,,297,,384,-89.8076,,
-89.8076,-73.2548,,298,,386,-89.8076,,
-89.8076,-78.4839,,299,,387,-89.8076,,
-89.8076,-78.1453,,300,,388,-89.8076,,
-89.8076,-75.7061,,301,,389,-71.0078,,
-89.8076,-75.7061,,302,,391,-71.0078,,
-89.8076,-73.1632,,303,,392,-71.0078,,
-89.8076,-75.9882,,304,,393,-71.0078,,
-89.8076,-75.9882,,305,,394,-71.0078,,
-89.8076,-75.9882,,306,,396,-71.0078,,
-89.8076,-75.9882,,307,,397,-71.0078,,
-89.8076,-75.9882,,308,,398,-71.0078,,
-89.8076,-75.9882,,309,,399,-71.0078,,
-89.8076,-73.1632,,310,,401,-71.0078,,
-89.8076,-71.2743,,311,,402,-71.0078,,
-89.8076,-71.2743,,312,,403,-71.0078,,
-89.8076,-73.1632,,313,,404,-71.0078,,
-89.8076,-75.7061,,314,,406,-71.0078,,
