"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
93.3534,89.5531,,388,,498,116.5139,,
93.3534,88.5269,,389,,499,116.5139,,
93.3534,87.4365,,390,,501,116.5139,,
93.3534,79.634,,391,,502,116.5139,,
93.3534,80.9656,,392,,503,116.5139,,
93.3534,87.7071,,393,,504,116.5139,,
93.3534,91.019,,394,,506,116.5139,,
93.3534,93.3534,,395,,507,116.5139,,
93.3534,92.2609,,396,,508,116.5139,,
93.3534,94.5309,,397,,509,116.5139,,
93.3534,93.3534,,398,,511,116.5139,,
93.3534,92.2059,,399,,512,116.5139,,
93.3534,91.1756,,400,,513,116.5139,,
93.3534,92.0007,,401,,514,116.5139,,
93.3534,95.9164,,402,,516,116.5139,,
93.3534,95.9164,,403,,517,116.5139,,
93.3534,94.8565,,404,,518,116.5139,,
93.3534,113.6567,,405,,519,116.5139,,
93.3534,114.7136,,406,,521,70.1929,,
93.3534,114.7136,,407,,522,70.1929,,
93.3534,98.327,,408,,523,70.1929,,
93.3534,95.9134,,409,,524,70.1929,,
93.3534,94.8565,,410,,526,70.1929,,
93.3534,94.8565,,411,,527,70.1929,,
93.3534,94.8565,,412,,528,70.1929,,
93.3534,94.8565,,413,,529,70.1929,,
93.3534,95.9134,,414,,531,70.1929,,
93.3534,98.327,,415,,532,70.1929,,
93.3534,98.327,,416,,533,70.1929,,
93.3534,98.327,,417,,534,70.1929,,
93.3534,97.3496,,418,,536,70.1929,,
93.3534,95.9164,,419,,537,70.1929,,
116.5139,95.9164,,420,,538,70.1929,,
116.5139,90.0182,,421,,539,70.1929,,
116.5139,89.2753,,422,,541,70.1929,,
116.5139,89.5531,,423,,542,70.1929,,
116.5139,89.5531,,424,,543,70.1929,,
116.5139,91.3577,,425,,544,70.1929,,
116.5139,91.3577,,426,,546,70.1929,,
116.5139,92.4343,,427,,547,70.1929,,
116.5139,91.1756,,428,,548,70.1929,,
116.5139,92.0007,,429,,549,70.1929,,
116.5139,90.0182,,430,,551,70.1929,,
116.5139,90.0182,,431,,552,70.1929,,
116.5139,90.0182,,432,,553,70.1929,,
116.5139,90.0182,,433,,554,70.1929,,
116.5139,92.0007,,434,,556,70.1929,,
116.5139,93.3534,,435,,557,70.1929,,
116.5139,93.3534,,436,,558,70.1929,,
116.5139,93.3534,,437,,559,70.1929,,
116.5139,92.0007,,438,,561,70.1929,,
116.5139,95.9164,,439,,562,70.1929,,
116.5139,112.5999,,440,,563,70.1929,,
116.5139,110.546,,441,,564,70.1929,,
116.5139,112.5999,,442,,566,70.1929,,
116.5139,113.0513,,443,,567,70.1929,,
116.5139,113.0513,,444,,568,70.1929,,
116.5139,112.5999,,445,,569,70.1929,,
116.5139,112.1535,,446,,571,70.1929,,
116.5139,111.7138,,447,,572,70.1929,,
116.5139,111.7138,,448,,573,70.1929,,
116.5139,110.0369,,449,,574,70.1929,,
116.5139,110.0369,,450,,576,70.1929,,
116.5139,106.9806,,451,,577,70.1929,,
116.5139,106.9806,,452,,578,70.1929,,
116.5139,106.9806,,453,,579,70.1929,,
116.5139,106.9806,,454,,581,70.1929,,
116.5139,90.8642,,455,,582,70.1929,,
116.5139,88.1805,,456,,583,70.1929,,
116.5139,88.1805,,457,,584,70.1929,,
116.5139,83.4343,,458,,586,70.1929,,
116.5139,74.5532,,459,,587,70.1929,,
116.5139,74.5532,,460,,588,70.1929,,
116.5139,74.5532,,461,,589,70.1929,,
116.5139,83.4343,,462,,591,70.1929,,
116.5139,83.4343,,463,,592,70.1929,,
116.5139,80.586,,464,,593,70.1929,,
116.5139,80.586,,465,,594,70.1929,,
116.5139,80.586,,466,,596,70.1929,,
116.5139,78.4618,,467,,597,70.1929,,
116.5139,78.4618,,468,,598,70.1929,,
116.5139,78.4618,,469,,599,70.1929,,
116.5139,78.4618,,470,,601,70.1929,,
116.5139,78.4618,,471,,602,70.1929,,
116.5139,83.3044,,472,,603,70.1929,,
116.5139,105.394,,473,,604,70.1929,,
116.5139,83.3044,,474,,606,70.1929,,
116.5139,85.3827,,475,,607,70.1929,,
116.5139,85.3827,,476,,608,70.1929,,
116.5139,88.4909,,477,,609,70.1929,,
